"","ppID","runIdx","trialIdx","trialCode","trialOnset","trialDuration","timestamp","X","Y","bin","interval","gapfill","Xf","Yf","frameTime","frameStep","Xa","Ya","AV","lMax","AVf","fixation","cluster","inROI","roiValid"
"35","pilot",1,5,4,14.04911867,3.014133934,0.563984156,992.4000244,529.4000244,282,0.0166257099999999,1,992.4000244,542.2000122,0.549967847,0.0166257099999999,72.3541235671327,56.6709901374564,0.553957118377269,0,0.553957118377269,1,2,1,1
"36","pilot",1,5,4,14.04911867,3.014133934,0.580690873,1000.799988,534.9000244,291,0.016706717,1,992.4000244,534.9000244,0.566674564,0.016706717,72.3541235671327,55.9079921158614,0.762998021594932,1,0.762998021594932,1,2,1,1
"37","pilot",1,5,4,14.04911867,3.014133934,0.597356809,987.9000244,542.2000122,299,0.016665936,1,992.4000244,534.9000244,0.5833405,0.016665936,72.3541235671327,55.9079921158614,0.245276046884683,0,0.245276046884683,1,2,1,1
"38","pilot",1,5,4,14.04911867,3.014133934,0.613983629,992.2000122,529.0999756,307,0.01662682,1,995.0999756,536.2999878,0.59996732,0.01662682,72.5509722148019,56.0543169226653,0.787981834211283,1,0.787981834211283,1,2,1,1
"39","pilot",1,5,4,14.04911867,3.014133934,0.630686462,1001.599976,554.7000122,315,0.016702833,1,995.0999756,542.2000122,0.616670153,0.016702833,72.5509722148019,56.6709901374564,0.0731655912756821,0,0.0731655912756821,1,2,1,1
"40","pilot",1,5,4,14.04911867,3.014133934,0.647354617,995.0999756,536.2999878,324,0.016668155,1,995.0999756,537,0.633338308,0.016668155,72.5509722148019,56.1274825139409,0.0313548603331384,0,0.0313548603331384,1,2,1,1
"41","pilot",1,5,4,14.04911867,3.014133934,0.663979495,998.7000122,545.2000122,332,0.016624878,1,995.0999756,541.9000244,0.649963186,0.016624878,72.5509722148019,56.6396352771232,0.512152763182279,1,0.512152763182279,1,2,1,1
"42","pilot",1,5,4,14.04911867,3.014133934,0.680661522,993.2000122,537,340,0.016682027,1,995.0999756,541.9000244,0.666645213,0.016682027,72.5509722148019,56.6396352771232,0.262472275895078,0,0.262472275895078,1,2,1,1
"43","pilot",1,5,4,14.04911867,3.014133934,0.697326071,989.2000122,541.9000244,349,0.016664549,1,998.7000122,541.9000244,0.683309762,0.016664549,72.813444490697,56.6396352771232,0.512360198936249,1,0.512360198936249,1,2,1,1
"44","pilot",1,5,4,14.04911867,3.014133934,0.713994781,1000,546.5,357,0.01666871,1,994.9000244,537,0.699978472,0.01666871,72.5363941278647,56.1274825139409,0.360044705598446,0,0.360044705598446,1,2,1,1
"45","pilot",1,5,4,14.04911867,3.014133934,0.73066155,1002.5,526.4000244,365,0.016666769,1,994.9000244,539.7000122,0.716645241,0.016666769,72.5363941278647,56.4096890084343,0.637572204514832,0,0.637572204514832,1,2,1,1
"46","pilot",1,5,4,14.04911867,3.014133934,0.747324712,994.9000244,526.5,373,0.016663162,1,994.9000244,530.9000244,0.733308403,0.016663162,72.5363941278647,55.4899103094261,0.919778699008177,0,0.919778699008177,1,2,1,1
"47","pilot",1,5,4,14.04911867,3.014133934,0.76397428,990.5,539.7000122,382,0.0166495680000001,1,994.9000244,530.9000244,0.749957971,0.0166495680000001,72.5363941278647,55.4899103094261,0.919778699008177,0,0.919778699008177,1,2,1,1
"48","pilot",1,5,4,14.04911867,3.014133934,0.780659358,991.7999878,530.9000244,390,0.016685078,1,994.9000244,539.7000122,0.766643049,0.016685078,72.5363941278647,56.4096890084343,1.53893428906231,0,1.53893428906231,1,2,1,1
"49","pilot",1,5,4,14.04911867,3.014133934,0.797323352,996.0999756,545.5999756,398,0.0166639940000001,1,996.0999756,545.5999756,0.783307043,0.0166639940000001,72.6238804390947,57.0263558474778,5.03936670744978,0,5.03936670744978,-1,0,1,1
"50","pilot",1,5,4,14.04911867,3.014133934,0.813970979,1031.5,580.6000061,407,0.016647627,1,1031.5,580.6000061,0.79995467,0.016647627,75.2048333580204,60.6845748416606,6.2811701424941,1,6.2811701424941,-1,0,1,1
"51","pilot",1,5,4,14.04911867,3.014133934,0.830656057,1055.199951,607.1000061,415,0.016685078,1,1042.800049,596.1000061,0.816639748,0.016685078,76.028699865032,62.3046418415975,2.43780020833736,0,2.43780020833736,-1,0,1,1
"52","pilot",1,5,4,14.04911867,3.014133934,0.847321993,1042.800049,601.2000122,423,0.016665936,1,1049.400024,600.2999878,0.833305684,0.016665936,76.5098923226589,62.7436258256303,0.718118201389375,0,0.718118201389375,1,3,1,1
"53","pilot",1,5,4,14.04911867,3.014133934,0.864258412,1054.099976,596.1000061,431,0.016936419,1,1049.400024,601.2000122,0.850242103,0.016936419,76.5098923226589,62.8376967823772,0.094070956746954,0,0.094070956746954,1,3,1,1
"54","pilot",1,5,4,14.04911867,3.014133934,0.880768439,1049.400024,600.2999878,440,0.016510027,1,1049.400024,601.2000122,0.86675213,0.016510027,76.5098923226589,62.8376967823772,0.795979894127123,0,0.795979894127123,1,3,1,1
"55","pilot",1,5,4,14.04911867,3.014133934,0.897432433,1047.199951,611.2999878,448,0.016663994,1,1053.699951,608.2000122,0.883416124,0.016663994,76.8233923648175,63.569339943639,0.795979894127123,0,0.795979894127123,1,3,1,1
"56","pilot",1,5,4,14.04911867,3.014133934,0.913985737,1060,611.6000061,456,0.016553304,1,1053.699951,608.2000122,0.899969428,0.016553304,76.8233923648175,63.569339943639,0.324010849688364,0,0.324010849688364,1,3,1,1
"57","pilot",1,5,4,14.04911867,3.014133934,0.930675531,1053.699951,608.2000122,465,0.016689794,1,1053.699951,611.2999878,0.916659222,0.016689794,76.8233923648175,63.8933507933274,0,0,0,1,3,1,1
"58","pilot",1,5,4,14.04911867,3.014133934,0.947338971,1056.699951,604.6000061,473,0.01666344,1,1053.699951,608.2000122,0.933322662,0.01666344,76.8233923648175,63.569339943639,0.324010849688364,1,0.324010849688364,1,3,1,1
"59","pilot",1,5,4,14.04911867,3.014133934,0.96398521,1046.699951,611.8999939,481,0.0166462390000001,1,1053.699951,608.2000122,0.949968901,0.0166462390000001,76.8233923648175,63.569339943639,0.227344505149628,0,0.227344505149628,1,3,1,1
"60","pilot",1,5,4,14.04911867,3.014133934,0.980670011,1053.099976,606.8999939,489,0.0166848009999999,1,1056.199951,606.8999939,0.966653702,0.0166848009999999,77.0056629255495,63.4334614438233,0.227344505149628,0,0.227344505149628,1,3,1,1
"61","pilot",1,5,4,14.04911867,3.014133934,0.997336224,1056.199951,615.3999939,498,0.016666213,1,1056.199951,606.8999939,0.983319915,0.016666213,77.0056629255495,63.4334614438233,0.371839088899236,0,0.371839088899236,1,3,1,1
"62","pilot",1,5,4,14.04911867,3.014133934,1.013964432,1061.300049,603.5,506,0.0166282080000001,1,1061.300049,606.8999939,0.999948123,0.0166282080000001,77.3775020144488,63.4334614438233,0.507179951805527,1,0.507179951805527,1,3,1,1
